"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","429","Тест на проверку невозможности создания двух идентичных пользователей, ручка - /api/auth/register","tests","Fri Jul 11 13:35:40 EDT 2025","passed","Fri Jul 11 13:35:40 EDT 2025","TestCreatingUser","test_creating_user","",""
"","426","Тест на проверку невозможности создания пользователя без одного из обязательных полей (email, password, name), ручка - ручка - /api/auth/register","tests","Fri Jul 11 13:35:42 EDT 2025","passed","Fri Jul 11 13:35:42 EDT 2025","TestCreatingUser","test_creating_user","",""
"","0","Успешная регистрация пользователя, ручка - /api/auth/register","tests","Fri Jul 11 13:35:38 EDT 2025","passed","Fri Jul 11 13:35:38 EDT 2025","TestCreatingUser","test_creating_user","",""
"","417","Невозможно создание заказа с неверным хешем ингредиентов, ручка - /api/orders","tests","Fri Jul 11 13:35:37 EDT 2025","passed","Fri Jul 11 13:35:37 EDT 2025","TestCreatingOrder","test_creating_order","",""
"","429","Тест, что невозможно войти в аккаунт под существующим пользователем, но с неверным логином и паролем, ручка - /api/auth/login","tests","Fri Jul 11 13:35:45 EDT 2025","passed","Fri Jul 11 13:35:46 EDT 2025","TestUserLogin","test_users_login","",""
"","424","Успешное создание заказа неавторизованным пользователем, ручка - /api/orders","tests","Fri Jul 11 13:35:28 EDT 2025","passed","Fri Jul 11 13:35:29 EDT 2025","TestCreatingOrder","test_creating_order","",""
"","2772","Успешное создание заказа авторизованным пользователем, ручка - /api/orders","tests","Fri Jul 11 13:35:25 EDT 2025","passed","Fri Jul 11 13:35:28 EDT 2025","TestCreatingOrder","test_creating_order","",""
"","418","Невозможно создание заказа без ингредиентов , ручка - /api/orders","tests","Fri Jul 11 13:35:34 EDT 2025","passed","Fri Jul 11 13:35:35 EDT 2025","TestCreatingOrder","test_creating_order","",""
"","517","Успешный вход в аккаунт под существующим пользователем с корректными данными, ручка - /api/auth/login","tests","Fri Jul 11 13:35:43 EDT 2025","passed","Fri Jul 11 13:35:44 EDT 2025","TestUserLogin","test_users_login","",""
"","428","Тест на проверку невозможности создания пользователя без одного из обязательных полей (email, password, name), ручка - ручка - /api/auth/register","tests","Fri Jul 11 13:35:42 EDT 2025","passed","Fri Jul 11 13:35:43 EDT 2025","TestCreatingUser","test_creating_user","",""
"","2727","Успешное создание заказа с ингредиентами, ручка - /api/orders","tests","Fri Jul 11 13:35:30 EDT 2025","passed","Fri Jul 11 13:35:33 EDT 2025","TestCreatingOrder","test_creating_order","",""
"","416","Тест на проверку невозможности создания пользователя без одного из обязательных полей (email, password, name), ручка - ручка - /api/auth/register","tests","Fri Jul 11 13:35:42 EDT 2025","passed","Fri Jul 11 13:35:42 EDT 2025","TestCreatingUser","test_creating_user","",""
"","428","Тест на проверку невозможности создания пользователя без одного из обязательных полей (email, password, name), ручка - ручка - /api/auth/register","tests","Fri Jul 11 13:35:41 EDT 2025","passed","Fri Jul 11 13:35:42 EDT 2025","TestCreatingUser","test_creating_user","",""
